spoken,Storage,EdgeTX 2.9,OpenTX 2.3,OpenTx 2.2,OpenTX 2.1,included at v,notes
Flaperons Middle,\flprmi.wav,\flprmi.wav,\flprmi.wav,\flprmi.wav,\flprmi.wav,1,
Flaperons Position 1,\flprp1.wav,\flprp1.wav,\flprp1.wav,\flprp1.wav,\flprp1.wav,1,
Flaperons Position 2,\flprp2.wav,\flprp2.wav,\flprp2.wav,\flprp2.wav,\flprp2.wav,1,
Flaperons Position 3,\flprp3.wav,\flprp3.wav,\flprp3.wav,\flprp3.wav,\flprp3.wav,1,
Flaperons UP,\flprup.wav,\flprup.wav,\flprup.wav,\flprup.wav,\flprup.wav,1,
flapperons,\flprns.wav,\flprns.wav,\flprns.wav,\flprns.wav,\flprns.wav,1.1,
flaps,\flps.wav,\flps.wav,\flps.wav,\flps.wav,\flps.wav,1.1,
Flaps 1,\flp1.wav,\flp1.wav,\flp1.wav,\flp1.wav,\flp1.wav,3,
Flaps 2,\flp2.wav,\flp2.wav,\flp2.wav,\flp2.wav,\flp2.wav,3,
Flaps 3,\flp3.wav,\flp3.wav,\flp3.wav,\flp3.wav,\flp3.wav,3,
Flaps 4,\flp4.wav,\flp4.wav,\flp4.wav,\flp4.wav,\flp4.wav,3,
Flaps 5,\flp5.wav,\flp5.wav,\flp5.wav,\flp5.wav,\flp5.wav,3,
Flaps Active,\flpact.wav,\flpact.wav,\flpact.wav,\flpact.wav,\flpact.wav,1,
Flaps Disabled,\flpdis.wav,\flpdis.wav,\flpdis.wav,\flpdis.wav,\flpdis.wav,1,
flaps down,\flapdn.wav,\flapdn.wav,\flapdn.wav,\flapdn.wav,\flapdn.wav,1,
Flaps Middle,\flpmid.wav,\flpmid.wav,\flpmid.wav,\flpmid.wav,\flpmid.wav,1,
Flaps Position 1,\flapp1.wav,\flapp1.wav,\flapp1.wav,\flapp1.wav,\flapp1.wav,1,
Flaps Position 2,\flapp2.wav,\flapp2.wav,\flapp2.wav,\flapp2.wav,\flapp2.wav,1,
Flaps Position 3,\flapp3.wav,\flapp3.wav,\flapp3.wav,\flapp3.wav,\flapp3.wav,1,
flaps up,\flapup.wav,\flapup.wav,\flapup.wav,\flapup.wav,\flapup.wav,1,
Flight Envelope Protection Active,\fepact.wav,\fepact.wav,\fepact.wav,\fepact.wav,\fepact.wav,3,
Flight Envelope Protection Off,\fepoff.wav,\fepoff.wav,\fepoff.wav,\fepoff.wav,\fepoff.wav,3,
flight mode acro,\fm-acr.wav,\fm-acr.wav,\fm-acr.wav,\fm-acr.wav,\fm-acr.wav,1,
Flight Mode Angle,\fm-ang.wav,\fm-ang.wav,\fm-ang.wav,\fm-ang.wav,\fm-ang.wav,3,
Flight mode change failed,\fmchfl.wav,\fmchfl.wav,\fmchfl.wav,\fmchfl.wav,\fmchfl.wav,3,Also used by Yaapu Script
flight mode cruise,\fm-crs.wav,\fm-crs.wav,\fm-crs.wav,\fm-crs.wav,\fm-crs.wav,1,
flight mode eight,\fm-8.wav,\fm-8.wav,\fm-8.wav,\fm-8.wav,\fm-8.wav,1,
